bean_origin_continent,bean_origin
Africa,Uganda
Africa,Togo
Africa,Tanzania
Africa,Sierra Leone
Africa,Sao Tome & Principe
Africa,Sao Tome
Africa,Nigeria
Africa,Madagascar
Africa,Liberia
Africa,Ivory Coast
Africa,Ghana
Africa,Gabon
Africa,DR Congo
Africa,Congo
Africa,Cameroon
Central America,Trinidad
Central America,Tobago
Central America,St.Vincent-Grenadines
Central America,St. Lucia
Central America,Puerto Rico
Central America,Panama
Central America,Nicaragua
Central America,Mexico
Central America,Martinique
Central America,Jamaica
Central America,Honduras
Central America,Haiti
Central America,Guatemala
Central America,Grenada
Central America,El Salvador
Central America,Dominican Republic
Central America,Cuba
Central America,Costa Rica
Central America,Belize
North America,U.S.A.
South America,Venezuela
South America,Suriname
South America,Peru
South America,Ecuador
South America,Colombia
South America,Brazil
South America,Bolivia
South Pacific,Vanuatu
South Pacific,Solomon Islands
South Pacific,Samoa
South Pacific,Papua New Guinea
South Pacific,Malaysia
South Pacific,Indonesia
South Pacific,Fiji
South Pacific,Australia
Southeast Asia,Vietnam
Southeast Asia,Thailand
Southeast Asia,Taiwan
Southeast Asia,Sri Lanka
Southeast Asia,Philippines
Southeast Asia,India
Southeast Asia,China
Southeast Asia,Burma
South Pacific,Sumatra
South Pacific,Sulawesi
Africa,Principe
Other,Blend
