max_depth,min_samples_leaf,max_features,score
59,18,sqrt,0.8756946002416133
30,14,sqrt,0.8788219056065255
84,43,log2,0.8613353998819491
29,40,log2,0.8627992464782549
91,20,sqrt,0.8750324034211111
79,17,log2,0.8717773796301216
56,21,log2,0.870505243317117
96,36,sqrt,0.8678036367618078
49,49,log2,0.8608542008330007
66,15,log2,0.8733590306946055
54,20,log2,0.8698274186812867
77,49,log2,0.8606210201217406
46,31,log2,0.8663018691645072
52,24,sqrt,0.8724770069071293
21,28,sqrt,0.8708415393479658
53,49,sqrt,0.863804211708629
65,34,log2,0.8638102278992023
61,17,sqrt,0.8766280693595732
92,32,log2,0.8651297916786014
60,37,log2,0.8629868893052721
59,37,sqrt,0.8672510100137757
38,13,sqrt,0.8790630377989801
37,17,sqrt,0.875868308856657
82,36,log2,0.8641056683258185
68,21,sqrt,0.8755383438969491
78,49,sqrt,0.863378016080825
60,28,sqrt,0.8715060457905416
79,49,sqrt,0.8632344905905202
67,38,log2,0.8628244787483818
67,26,sqrt,0.8720829688306957
79,42,sqrt,0.865749475738793
29,49,sqrt,0.8635921447252748
71,24,log2,0.8682893009008501
38,26,log2,0.866448494465786
46,29,log2,0.865284110043911
72,14,log2,0.8741442794948269
76,10,sqrt,0.8811577625492693
57,28,log2,0.8663295413109082
78,45,log2,0.8609863338607313
65,11,log2,0.8767081365568785
74,45,sqrt,0.863983672420867
84,29,log2,0.8657961333311632
93,23,log2,0.8684584909498783
46,24,sqrt,0.8731013556211893
66,43,log2,0.8626350305861956
40,14,sqrt,0.8788809660277686
93,41,log2,0.8620341778179199
62,38,log2,0.8632628474677185
73,47,log2,0.8607083926079572
50,44,sqrt,0.8649323194394164
62,20,log2,0.8704740513198204
58,18,sqrt,0.8762210760689072
80,49,log2,0.860081636879921
75,10,log2,0.8775186806630899
26,10,log2,0.8769164458857969
83,47,sqrt,0.863848185048725
30,37,log2,0.8631926404536422
98,19,sqrt,0.8760693063242047
94,44,log2,0.8615594998439459
25,25,sqrt,0.8722485834616694
54,36,log2,0.8635606626435088
28,33,log2,0.863750770142898
59,30,log2,0.8646728638269291
98,42,log2,0.8619015712743459
46,18,log2,0.8713370308079386
52,41,sqrt,0.866751064517391
29,27,log2,0.8661785695225582
71,12,sqrt,0.8800717078053646
32,19,sqrt,0.8757307669933752
71,38,sqrt,0.8678092795171732
93,31,sqrt,0.8698879979382076
51,42,sqrt,0.8656829242072795
38,12,sqrt,0.8796908080757893
27,47,sqrt,0.8646009527533121
53,14,sqrt,0.8789052996634112
88,27,log2,0.8669022110734186
50,33,log2,0.8634405975479563
91,19,log2,0.8706103474032487
68,48,sqrt,0.8638504331286765
39,24,sqrt,0.8734523300456933
22,10,sqrt,0.8802916509853753
20,38,log2,0.8631947056997159
60,35,log2,0.8634865118548889
47,29,sqrt,0.8715551934488781
77,11,sqrt,0.8797309628168234
65,41,log2,0.8620110427599206
87,15,log2,0.874066825148984
50,11,sqrt,0.8799994125416057
89,27,log2,0.8671693734923526
42,37,log2,0.8626993731737673
21,35,log2,0.8634850444038961
96,44,sqrt,0.8656140170464749
84,37,sqrt,0.8681627081578636
51,47,sqrt,0.8639922360370547
35,20,log2,0.8702590673593704
58,13,sqrt,0.8782447734426551
47,22,sqrt,0.8744837565961504
97,37,log2,0.8627000471496306
91,29,sqrt,0.870994402809705
87,35,log2,0.8643063246229602
