endDate,value,breakdown
2021-12-31,,otherCashflowsFromFinancingActivities
2020-12-31,-1749000.0,otherCashflowsFromFinancingActivities
2019-12-31,-1177446.0,otherCashflowsFromFinancingActivities
2018-12-31,-1542436.0,otherCashflowsFromFinancingActivities
2021-12-31,-995000.0,capitalExpenditures
2020-12-31,-249000.0,capitalExpenditures
2019-12-31,-256742.0,capitalExpenditures
2018-12-31,-14225.0,capitalExpenditures
2021-12-31,6595000.0,changeToNetincome
2020-12-31,1794000.0,changeToNetincome
2019-12-31,1458685.0,changeToNetincome
2018-12-31,512988.0,changeToNetincome
2021-12-31,-2111000.0,changeToAccountReceivables
2020-12-31,-1686000.0,changeToAccountReceivables
2019-12-31,-190951.0,changeToAccountReceivables
2018-12-31,-4396.0,changeToAccountReceivables
2021-12-31,559000.0,changeToInventory
2020-12-31,-343000.0,changeToInventory
2019-12-31,-1892768.0,changeToInventory
2018-12-31,-27075.0,changeToInventory
2021-12-31,4000.0,otherCashflowsFromInvestingActivities
2020-12-31,4000.0,otherCashflowsFromInvestingActivities
2019-12-31,-11169.0,otherCashflowsFromInvestingActivities
2018-12-31,-11169.0,otherCashflowsFromInvestingActivities
2021-12-31,566000.0,depreciation
2020-12-31,285000.0,depreciation
2019-12-31,127014.0,depreciation
2018-12-31,21875.0,depreciation
2021-12-31,-18223000.0,totalCashFromOperatingActivities
2020-12-31,-12187000.0,totalCashFromOperatingActivities
2019-12-31,-8485637.0,totalCashFromOperatingActivities
2018-12-31,-2692136.0,totalCashFromOperatingActivities
2021-12-31,-11710000.0,changeInCash
2020-12-31,-337000.0,changeInCash
2019-12-31,4624968.0,changeInCash
2018-12-31,9274920.0,changeInCash
2021-12-31,-24449000.0,netIncome
2020-12-31,-12580000.0,netIncome
2019-12-31,-8325488.0,netIncome
2018-12-31,-3336435.0,netIncome
2021-12-31,13725000.0,issuanceOfStock
2020-12-31,39296000.0,issuanceOfStock
2019-12-31,14670236.0,issuanceOfStock
2018-12-31,13683222.0,issuanceOfStock
2021-12-31,-219000.0,changeToOperatingActivities
2020-12-31,-139000.0,changeToOperatingActivities
2019-12-31,-182589.0,changeToOperatingActivities
2018-12-31,-55843.0,changeToOperatingActivities
2021-12-31,13450000.0,totalCashFromFinancingActivities
2020-12-31,37961000.0,totalCashFromFinancingActivities
2019-12-31,13492790.0,totalCashFromFinancingActivities
2018-12-31,12101351.0,totalCashFromFinancingActivities
2021-12-31,-275000.0,netBorrowings
2020-12-31,414000.0,netBorrowings
2019-12-31,414000.0,netBorrowings
2018-12-31,-39435.0,netBorrowings
2021-12-31,-6937000.0,totalCashflowsFromInvestingActivities
2020-12-31,-26111000.0,totalCashflowsFromInvestingActivities
2019-12-31,-382185.0,totalCashflowsFromInvestingActivities
2018-12-31,-134295.0,totalCashflowsFromInvestingActivities
2021-12-31,836000.0,changeToLiabilities
2020-12-31,482000.0,changeToLiabilities
2019-12-31,520460.0,changeToLiabilities
2018-12-31,196750.0,changeToLiabilities
2021-12-31,-5009000.0,investments
2020-12-31,-24980000.0,investments
2019-12-31,-24980000.0,investments
2018-12-31,-24980000.0,investments
